year,population,violentTotal,violentRate,murder,murderRate,rape,robbery,agAssault,propertyTotal,propertyRate,theftTotal,theftRate,burglary,larceny,mvLarceny,arson
1946,840496.8,NA,NA,87,10.351020967599162,NA,592,1112,NA,NA,NA,NA,1829,NA,2054,NA
1947,844571.6,NA,NA,87,10.301080453095985,NA,810,1144,NA,NA,NA,NA,2246,NA,1843,NA
1948,848646.4,NA,NA,67,7.894925377636669,NA,643,2214,NA,NA,NA,NA,4682,NA,1627,NA
1949,852721.2,NA,NA,72,8.44355693279351,NA,952,2329,NA,NA,12764,1496.8550095857827,4085,6914,1765,NA
1950,856796,NA,NA,83,9.68725344189282,NA,879,2151,NA,NA,12402,1447.4857492331896,3744,6723,1935,NA
1951,846119,NA,NA,64,7.5639478607619015,NA,908,2161,NA,NA,14683,1735.3351006182345,4673,7771,2239,NA
1952,835442,NA,NA,101,12.089408959568708,NA,1127,2405,NA,NA,16161,1934.4251306494048,4505,8867,2789,NA
1953,824765,NA,NA,96,11.639679181342565,NA,1378,2325,NA,NA,18198,2206.44668481325,4854,9831,3513,NA
1954,814088,NA,NA,77,9.458436925737757,NA,1932,2209,NA,NA,23139,2842.321714605792,6520,12597,4022,NA
1955,803411,NA,NA,94,11.700113640465466,NA,1677,2136,NA,NA,26316,3275.53394215414,6630,14899,4787,NA
1956,792734,NA,NA,95,11.983843256376035,NA,1636,1932,NA,NA,31035,3914.9323732803186,6735,18822,5478,NA
1957,782057,NA,NA,92,11.763848415141096,NA,2150,2266,NA,NA,31051,3970.426708027676,7998,17801,5252,NA
1958,771380,4975,644.9480152454043,101,13.093416992921776,220,2222,2432,NA,NA,36023,4669.942181544764,9543,21997,4483,NA
1959,760703,4919,646.6387013065546,129,16.95799806231867,244,2096,2450,NA,NA,32202,4233.189562812294,9799,18244,4159,NA
1960,750026,4635,617.9785767426729,81,10.799625612978751,269,2157,2128,NA,NA,34175,4556.508707698133,10623,19593,3959,NA
1961,737247,3285,445.57658423838956,92,12.478857153708322,217,1998,978,NA,NA,32272,4377.366065918206,10375,18375,3522,NA
1962,724468,4238,584.9809791460768,92,12.698973591656221,266,1925,1955,NA,NA,38549,5321.007967225606,10621,23601,4327,NA
1963,711689,4589,644.804120901124,138,19.390492195326892,249,2098,2104,NA,NA,44174,6206.92465388674,11865,27323,4986,NA
1964,698910,4685,670.3295130989684,180,25.75438897712152,249,2202,2054,NA,NA,50159,7176.746648352435,13463,30859,5837,NA
1965,686131,5054,736.5940323349331,182,26.525546870787064,323,2293,2256,NA,NA,48476,7065.123132463043,12661,30269,5546,NA
1966,673352,5085,755.177084199646,153,22.722142356449524,302,2451,2179,NA,NA,45855,6809.959723888842,12316,27793,5746,NA
1967,660573,6066,918.2936632287423,217,32.85026787349771,304,3193,2352,NA,NA,50250,7607.03207669705,13629,28956,7665,NA
1968,647794,7504,1158.3929459056428,244,37.66629514938391,467,4180,2613,NA,NA,59333,9159.238893845884,16721,31427,11185,NA
1969,635015,9351,1472.563640228971,297,46.77054872719542,604,4957,3493,NA,NA,67243,10589.198680346133,19073,33736,14434,NA
1970,622236,9390,1509.0737276531734,309,49.65961467996066,546,5296,3239,NA,NA,62047,9971.618485590676,19011,30011,13025,NA
1971,605292.8,8962,1480.605749812322,277,45.76297619928735,498,4956,3231,NA,NA,58502,9665.074489569344,18876,27761,11865,NA
1972,588349.6,8822,1499.4486271427738,250,42.49174300449937,512,4844,3216,NA,NA,56318,9572.199930109582,17577,27462,11279,NA
1973,571406.4,9310,1629.3132173528331,254,44.4517247269194,565,5177,3314,NA,NA,54581,9552.04561937003,19033,25930,9618,NA
1974,554463.2,9382,1692.087049239697,227,40.94049884645185,445,5300,3410,NA,NA,57043,10287.968615410366,19885,28441,8717,NA
1975,537520,10597,1971.4615270129482,274,50.97484744753684,462,6288,3573,NA,NA,58836,10945.8252716178,18976,30233,9627,NA
1976,520576.8,9616,1847.1818183215235,224,43.02919377121685,489,5303,3600,NA,NA,53173,10214.24696605765,17005,28969,7199,NA
1977,503633.6,9726,1931.1658316681016,195,38.71862401555416,473,4943,4115,NA,NA,45724,9078.822381985636,15215,23790,6719,NA
1978,486690.4,10095,2074.2139150474304,210,43.148580699352195,497,5025,4363,NA,NA,44390,9120.788082115447,16688,22151,5551,NA
1979,469747.19999999995,10774,2293.5740755878905,265,56.413321888879814,555,5386,4568,46793,9961.315362816427,46439,9885.955679991283,17263,23103,6073,354
1980,452804,10983,2425.552777802316,225,49.69037375994912,392,5938,4428,54098,11947.332620736566,53648,11847.951873216669,20184,27043,6421,450
1981,454166,10364,2281.985001078901,265,58.34870950269284,413,5365,4321,52733,11610.952823416988,52290,11513.411395833242,19214,27195,5881,443
1982,455362,10069,2211.207786332632,226,49.6308431533593,316,4899,4628,50431,11074.92500472152,50067,10994.988602474516,17149,27638,5280,364
1983,457262,8461,1850.3614995341838,152,33.241336476680765,323,3840,4146,42841,9369.026947351847,42526,9300.138651363988,14199,22974,5353,315
1984,442528,7729,1746.5561501193145,128,28.924723407332415,349,3112,4140,39899,9016.152650227783,39503,8926.666787186348,13256,21051,5196,396
1985,431109,8642,2004.597445193675,169,39.20122289258633,384,3136,4953,NA,NA,40471,9387.649063229948,13498,21390,5583,NA
