Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-056292,2015-12,01/01/2006 09:39,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4600,LOUGHBOROUGH AVE,4, , ,4600,LOUGHBOROUGH,0,0
15-056140,2015-12,01/01/2015 13:40,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1900,OLIVE ST,36, ,@HEADQUARTERS,1900,OLIVE,0,0
15-063783,2015-12,02/11/2015 09:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2970,N PRAIRIE AVE,59, , ,2970,PRAIRIE,899334.3,1028966
15-064544,2015-12,03/01/2015 04:00,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,0,EADS BRG / WASHINGTON AVE,35, , ,919,JEFFERSON,909973.6,1018284
15-065512,2015-12,03/13/2015 14:00,Y, , ,1, , 72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2619,MADISON ST,59, , ,2619,MADISON,902114.8,1024774
15-062995,2015-12,03/15/2015 15:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,7011,S BROADWAY,1, , ,7011,BROADWAY,890660.7,989800.1
15-061710,2015-12,03/27/2015 10:32,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4333,GOODFELLOW BLVD,70,JOB CORPS,NUISANCE ABATEMENT PROPERTY,4333,GOODFELLOW,886191.1,1040939
15-020353,2015-12,04/27/2015 11:51,Y, , ,1, , 41201,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,5087,RIDGE AVE,51, , , , ,887348.8,1030162
15-020353,2015-12,04/27/2015 11:51,Y, , ,1, , 41201,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,5087,RIDGE AVE,51, , , , ,887348.8,1030162
15-020353,2015-12,04/27/2015 11:51,Y, , ,1, , 41201,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,5087,RIDGE AVE,51, , , , ,887348.8,1030162
15-062998,2015-12,05/06/2013 08:58,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3256,JANUARY AVE,14, , ,3256,JANUARY,880766.6,1008292
15-026234,2015-12,05/08/2015 09:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4014,UNION BLVD,70, ,@NORTH PATROL DIVISION,4014,UNION,890074.4,1037079
15-022494,2015-12,05/08/2015 19:02,Y, , ,1, , 41203,2,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4241,CHIPPEWA ST,15, , ,4241,CHIPPEWA,888666.5,1003889
15-022494,2015-12,05/08/2015 19:02,Y, , ,1, , 41013,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4241,CHIPPEWA ST,15, , ,4241,CHIPPEWA,888666.5,1003889
15-022494,2015-12,05/08/2015 19:02,Y, , ,1, , 41203,2,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4241,CHIPPEWA ST,15, , ,4241,CHIPPEWA,888666.5,1003889
15-063081,2015-12,05/20/2014 17:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3500,MORGANFORD RD,15, , ,3500,MORGANFORD,0,0
