Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-007879,2016-02,01/01/2014 12:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3317,MICHIGAN AVE,30, , ,3317,MICHIGAN,895717.9,1005910
16-008715,2016-02,01/01/2016 00:01,Y, , ,1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,5810,SELBER CT,50,HILLVALE APARTMENTS, ,5810,SELBER,885144.4,1037772
16-000025,2016-02,01/01/2016 01:30, , , ,-1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,BROADWAY,35, ,STADIUM EAST GARAGE,200,BROADWAY,0,0
16-007052,2016-02,01/01/2016 08:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,2025,E FAIR AVE,68, , ,2025,FAIR,900984.3,1035759
16-007406,2016-02,01/01/2016 12:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4961,MCPHERSON AVE,38, ,BASEMENT STORAGE ROOM,4961,MCPHERSON,887957.6,1025482
16-007416,2016-02,01/01/2016 12:00,Y, , ,1, , 44024,1,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,6327,S GRAND BLVD,3, , ,6327,GRAND,888902.4,993937.2
16-007522,2016-02,01/01/2016 18:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1016,HICKORY PL,34, , ,1016,HICKORY,905538.4,1013296
16-000273,2016-02,01/02/2016 16:00,Y, , ,1, ,183130,2,DRUGS-SALE/HEROIN,1800,S SPRING AVE,27, ,ON STREET,1915,OLIVE,893849.7,1013410
16-009628,2016-02,01/03/2016 08:30,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4225,E FINNEY AVE,58, , , , ,893885.4,1025545
16-001050,2016-02,01/04/2016 02:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,5000,CHIPPEWA ST,14, , ,5000,CHIPPEWA,0,0
16-007687,2016-02,01/04/2016 16:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,932,LOUGHBOROUGH AVE,1, ,LOUGHBOROUGH COMMONS LOWES,932,LOUGHBOROUGH,888524.2,991611.8
16-000917,2016-02,01/06/2016 07:40,Y, , ,1, , 71040,5,AUTO THEFT-PERM RETNT/ATTEMPT,4471,LINDELL,38, , ,4471,LINDELL,0,0
16-005448,2016-02,01/06/2016 13:35,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2838,MARKET ST,37, , ,2838,MARKET,899904.4,1018614
16-008342,2016-02,01/06/2016 15:48,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5323,LABADIE AVE,50, ,NUISANCE ABATEMENT PROPERTY,5323,LABADIE,888188.6,1034984
16-001574,2016-02,01/07/2016 07:00, , , ,1, , 51330,3,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,2727,WYOMING,30, , ,2727,WYOMING,0,0
16-001574,2016-02,01/07/2016 07:00, , , ,-1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2727,WYOMING,30, , ,2727,WYOMING,0,0
16-005053,2016-02,01/07/2016 10:00,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,1901,PENROSE ST,65, , ,1901,PENROSE,904417.1,1031520
16-010061,2016-02,01/07/2016 12:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,FAIR AVE / W NATURAL BRIDGE AV,56, , ,1220,WARREN,897613.6,1031635
16-008655,2016-02,01/08/2016 18:28,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3934,S GRAND BLVD,16, , ,3934,GRAND,893237.9,1002057
16-007681,2016-02,01/08/2016 23:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3429,DUNNICA AVE,16, , ,3429,DUNNICA,893985.9,1002805
16-001477,2016-02,01/09/2016 20:00,Y, , ,1, , 41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,2612,HICKORY ST,31, ,APT A,2612,HICKORY,900240.4,1014902
16-006886,2016-02,01/10/2016 08:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3816,EICHELBERGER ST,5, , ,3816,EICHELBERGER,889400.2,997573.8
16-003407,2016-02,01/10/2016 11:00,Y, , ,1, , 43015,1,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4962,CHIPPEWA ST,7, , ,4943,CHIPPEWA,884339.3,1004164
16-001608,2016-02,01/10/2016 22:01,Y, , ,1, , 81000,5,ARSON-1ST DEGREE/SUCCESS,1330,WALTON AVE,54, , ,1330,WALTON,889933.5,1029065
16-007629,2016-02,01/11/2016 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
16-005749,2016-02,01/11/2016 14:03,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3202,S KINGSHIGHWAY BLVD,15,HOME DEPOT, ,3202,KINGSHIGHWAY,886045.3,1008369
16-006776,2016-02,01/11/2016 18:00,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3865,GRAVOIS AVE,15,SHOP N SAVE, ,3865,GRAVOIS,891583.8,1004871
16-001769,2016-02,01/11/2016 18:30,Y, , ,1, ,183130,1,DRUGS-SALE/HEROIN,4347,S BROADWAY,17,PHILLIPS 66, ,4347,BROADWAY,896495.6,998909.4
16-001884,2016-02,01/12/2016 11:30,Y, , ,1, ,182250,1,DRUGS-POSSESSION/COCAINE,4500,NEBRASKA AVE,17, ,STREET,4500,NEBRASKA,895658.7,998057.7
16-001860,2016-02,01/12/2016 11:55,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3000,ABNER PL,50, ,WEAPON OFFENCE,4900,NATURAL BRIDGE,887875.1,1035054
16-001896,2016-02,01/12/2016 15:20,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2100,BENTON ST,60, , , , ,904345.8,1025210
16-002074,2016-02,01/13/2016 18:45,Y, , ,1, ,182130,5,DRUGS-POSSESSION/HEROIN,1200,AMHERST PL,48, , ,1200,AMHERST,880144.6,1031708
16-002087,2016-02,01/13/2016 20:55,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1500,OFALLON ST,61, , , , ,906411,1021784
16-008654,2016-02,01/14/2016 10:48,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3518,S GRAND BLVD,25, , ,3518,GRAND,893530.5,1004900
16-009113,2016-02,01/14/2016 12:51,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3159,IOWA AVE,30, , ,3159,IOWA,897865.4,1006766
16-005885,2016-02,01/14/2016 14:00,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL,3719,PAGE BLVD,77, , ,3719,PAGE,897348.6,1024671
16-007678,2016-02,01/14/2016 16:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3454,ALBERTA ST,16, , ,3454,ALBERTA,893628.5,1002002
16-002298,2016-02,01/14/2016 20:15,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5820,MAPLE AVE,48, , , , ,881160.5,1029509
16-007707,2016-02,01/15/2016 00:01,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6318,ALASKA AVE,1, ,VACANT INVESTOR-OWNED PROPERTY,6318,ALASKA,889998.1,993352.8
16-002327,2016-02,01/15/2016 00:37,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2000,HEBERT ST,63, , , , ,905373.2,1027437
16-007684,2016-02,01/15/2016 10:32,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3943,N EUCLID AVE,69, ,INSIDE RESIDENCE,3943,EUCLID,892216.4,1035606
16-003200,2016-02,01/15/2016 13:11,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,3035,CASS AVE,59,VASHON HIGH SCHOOL,@SCHOOL - VASHON HIGH,3035,CASS,899825.3,1024601
16-002481,2016-02,01/15/2016 19:55,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,1000,N 14TH ST,61,HOGAN TRUCKING COMPANY, ,5000,CABANNE,906801.9,1020640
16-002505,2016-02,01/15/2016 20:50,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3600, ,14, , ,3604,HEREFORD,0,0
16-004004,2016-02,01/16/2016 16:00,Y, , ,1, ,266400,3,PUBLIC ORDER-ANIMAL VIOLATION,3465,MONTANA ST,16, , ,3465,MONTANA,893445.4,1001557
16-007058,2016-02,01/16/2016 20:30,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",825,ALLEN AVE,21,HENRY S, ,825,ALLEN,904590.8,1010262
16-007733,2016-02,01/17/2016 15:05,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1031,HIGHLANDS PLAZA DR W,41, ,APT 508,1031,HIGHLANDS PLAZA,882559.6,1018392
16-007329,2016-02,01/17/2016 16:45,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
16-006782,2016-02,01/17/2016 22:50,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3865,GRAVOIS AVE,15,SHOP N SAVE, ,3865,GRAVOIS,891583.8,1004871
16-005547,2016-02,01/18/2016 09:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4965,MCPHERSON AVE,38, , ,4965,MCPHERSON,887957.6,1025482
16-007888,2016-02,01/18/2016 13:17,Y, , ,1, , 92000,2,SIMPLE ASSAULT-HARRASSMENT,1077,S TAYLOR AVE,39, , ,4526,CHILDRENS,888335.8,1017758
16-002906,2016-02,01/18/2016 13:20, , , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,3757,WILMINGTON,3, , ,3757,WILMINGTON,0,0
16-002906,2016-02,01/18/2016 13:20, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3757,WILMINGTON,3, , ,3757,WILMINGTON,0,0
16-009644,2016-02,01/18/2016 16:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",5433,DONOVAN AVE,8, , ,5433,DONOVAN,875948.5,1000681
16-002942,2016-02,01/18/2016 18:00,Y, , ,1, ,182250,6,DRUGS-POSSESSION/COCAINE,4209,E KOSSUTH AVE,68, , ,4209,KOSSUTH,897713.6,1033299
16-005610,2016-02,01/19/2016 07:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",0,GILMORE AVE / THEKLA AVE,72, , , , ,891149,1044419
16-008600,2016-02,01/19/2016 09:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,4521,S COMPTON AVE,16, , ,4521,COMPTON,894182.3,998107.9
16-003018,2016-02,01/19/2016 10:18,Y, , ,1, , 42016,5,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,600,N KINGSHIGHWAY BLVD,38, ,APT 505,600,KINGSHIGHWAY,887891.8,1025894
16-007349,2016-02,01/19/2016 22:45,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3865,GRAVOIS AVE,15,SHOP N SAVE, ,3865,GRAVOIS,891583.8,1004871
16-010042,2016-02,01/20/2016 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
16-005094,2016-02,01/20/2016 09:02,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4412,JAMIESON AVE,9, , ,4412,JAMIESON,874715.7,1004378
16-003180,2016-02,01/20/2016 11:05,Y, , ,1, , 51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3933,HUMPHREY,15, ,: #1104384,3933,HUMPHREY,0,0
16-005830,2016-02,01/20/2016 14:00,Y, , ,1, , 69602,3,"LARCENY-ALL OTHER $500 - $24,999",3010,MIAMI ST,19, , ,3010,MIAMI,896028.9,1003968
16-006778,2016-02,01/20/2016 15:00,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,3933,HUMPHREY ST,15, , ,3933,HUMPHREY,891228.4,1007105
16-007728,2016-02,01/20/2016 16:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,S GRAND BLVD / GRAVOIS AVE,19, , , , ,893507.8,1004763
16-003248,2016-02,01/20/2016 18:03,Y, , ,1, ,183250,4,DRUGS-SALE/COCAINE,4206,N GRAND BLVD,67, ,@HOTEL- ECONOMY INN,4206,GRAND,902337.5,1031732
16-003257,2016-02,01/20/2016 18:21,Y, , ,1, ,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,300,S JEFFERSON AVE,36,CROWN MART SERVICE STATION,BP STATION, , ,901180.5,1017627
16-003301,2016-02,01/20/2016 19:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1411,LOCUST ST,36, ,@NEW LIFE EVNGLSTC CNTR,1411,LOCUST,905751.4,1018998
16-007332,2016-02,01/20/2016 19:10,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
16-006771,2016-02,01/20/2016 19:50,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3865,GRAVOIS AVE,15,SHOP N SAVE, ,3865,GRAVOIS,891583.8,1004871
16-003263,2016-02,01/20/2016 20:00,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,4200,CLAY AVE,68, , ,4200,CLAY,899462.7,1033265
