Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-001715,2016-01,01/01/2011 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3700,WYOMING ST,1, , ,1900,OLIVE,0,0
16-003615,2016-01,01/01/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
16-000219,2016-01,01/01/2015 01:30,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",1916,ARSENAL ST,22, , ,1916,ARSENAL,900685.8,1006351
16-003339,2016-01,01/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4003,CAMELLIA AVE,69, , ,4003,CAMELLIA,895091.1,1034161
16-000189,2016-01,01/01/2015 20:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,933,BELT AVE,48, , ,933,BELT,883307.5,1028959
16-000227,2016-01,01/01/2015 21:00,Y, , ,1, , 73413,1,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,4751,S BROADWAY,17, , ,4751,BROADWAY,895417.5,996292.7
16-000071,2016-01,01/01/2016 00:01,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3811,MERAMEC ST,16, , ,3811,MERAMEC,892179.1,1001297
16-000086,2016-01,01/01/2016 00:01,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4322,LACLEDE AVE,38, , ,4322,LACLEDE,890896.1,1021229
16-000085,2016-01,01/01/2016 00:01,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,3730,UTAH PL,15, , ,3730,UTAH,892967.3,1006493
16-000029,2016-01,01/01/2016 00:01,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2020,WASHINGTON AVE,36,2020 WASHINGTON, ,2020,WASHINGTON,903489.9,1019783
16-000017,2016-01,01/01/2016 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4014,UNION BLVD,70,NORTHH PATROL DIVISION,REAR PARKING LOT,4014,UNION,890074.4,1037079
16-000133,2016-01,01/01/2016 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4464,GREER AVE,56, , ,4464,GREER,894035.7,1031689
16-000505,2016-01,01/01/2016 00:01,Y, , ,1, , 43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,232,N KINGSHIGHWAY BLVD,38, , ,232,NORTH KINGSHIGHWAY,887583.9,1023730
16-003462,2016-01,01/01/2016 00:01,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1327,RIPPLE ST,42, , ,1327,RIPPLE,880051.2,1016939
16-004398,2016-01,01/01/2016 00:01,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3915,CHIPPEWA ST,15, ,APT 1W,3915,CHIPPEWA,890974.1,1003586
16-003727,2016-01,01/01/2016 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,3900,WEST BELLE PL,58, , ,3900,WEST BELLE,0,0
16-000011,2016-01,01/01/2016 00:07,Y, , ,1, , 36111,5,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,4045,LINDELL BLVD,38,WING STOP, , , ,893199.2,1021854
16-000005,2016-01,01/01/2016 00:09,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3737,S JEFFERSON AVE,19, , ,3737,JEFFERSON,898184.3,1002663
16-000004,2016-01,01/01/2016 00:10,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2600,PESTALOZZI ST,22, , , , ,899216.4,1007886
16-000008,2016-01,01/01/2016 00:10,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4886,ANDERSON AVE,69, , ,4886,ANDERSON,893412.8,1037127
16-000007,2016-01,01/01/2016 00:30,Y, , ,1, , 91303,4,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,601,CLARK AVE,35, ,@BALL PARK VILLAGE,601,CLARK,908223.8,1016086
16-000007,2016-01,01/01/2016 00:30,Y, , ,1, , 91303,4,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,601,CLARK AVE,35, ,@BALL PARK VILLAGE,601,CLARK,908223.8,1016086
16-000007,2016-01,01/01/2016 00:30,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,601,CLARK AVE,35, ,@BALL PARK VILLAGE,601,CLARK,908223.8,1016086
16-000007,2016-01,01/01/2016 00:30,Y, , ,1, , 91303,4,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,601,CLARK AVE,35, ,@BALL PARK VILLAGE,601,CLARK,908223.8,1016086
16-000135,2016-01,01/01/2016 00:30,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",601,CLARK AVE,35,BALLPARK VILLAGE, ,601,CLARK,908223.8,1016086
16-000012,2016-01,01/01/2016 00:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,14,MARYLAND PLZ,38,@BAR- BAR LOUIE, ,14,MARYLAND,888340.1,1023682
16-000027,2016-01,01/01/2016 00:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,N LEFFINGWELL AVE / SAMUEL SHE,37, , , , ,900917.5,1020849
16-000012,2016-01,01/01/2016 00:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,14,MARYLAND PLZ,38,@BAR- BAR LOUIE, ,14,MARYLAND,888340.1,1023682
16-000010,2016-01,01/01/2016 00:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,LAMI ST,21, , ,1000,LAMI,903808.6,1008985
16-000012,2016-01,01/01/2016 00:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,14,MARYLAND PLZ,38,@BAR- BAR LOUIE, ,14,MARYLAND,888340.1,1023682
16-003049,2016-01,01/01/2016 00:30,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",601,CLARK AVE,35,BALLPARK VILLAGE, ,601,CLARK,908223.8,1016086
16-000006,2016-01,01/01/2016 00:39,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4300,SAN FRANCISCO AVE,68, , ,4300,SAN FRANCISCO,896101,1033115
16-000020,2016-01,01/01/2016 00:45,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1000,SPRUCE ST,35,THE WHEELHOUSE, ,1000,SPRUCE,906666.7,1015976
16-000014,2016-01,01/01/2016 00:59,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4920,S KINGSHIGHWAY BLVD,6, , , , ,884055.6,1001854
