Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-033861,2016-07,01/01/2008 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3100,RUTGER ST,31, , ,3100,RUTGER,0,0
16-036788,2016-07,01/01/2009 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4254,LEE AVE,68, , ,4254,LEE,897582.8,1033816
16-035505,2016-07,01/01/2010 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5820,MCARTHUR AVE,70, , ,5820,MCARTHUR,885493.8,1039444
16-033133,2016-07,01/01/2016 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2900,WYOMING ST,30, , ,2900,WYOMING,0,0
16-033794,2016-07,01/01/2016 12:00,Y, , ,1, , 43025,4,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1744,PRESERVATION PL,62, , ,1744,PRESERVATION,906189.8,1022184
16-033794,2016-07,01/01/2016 12:00,Y, , ,1, , 43025,4,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1744,PRESERVATION PL,62, , ,1744,PRESERVATION,906189.8,1022184
16-033460,2016-07,01/01/2016 18:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3211,N TAYLOR AVE,56, , ,3211,TAYLOR,894002.9,1032376
16-037009,2016-07,01/18/2016 15:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,4248,RANDALL PL,65, , ,4248,RANDALL,905146.5,1032316
16-004224,2016-07,01/21/2016 16:41, , , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,2307,SIDNEY,22, , ,2307,SIDNEY,0,0
16-004224,2016-07,01/21/2016 16:41, , , ,-1, , 51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,2307,SIDNEY,22, , ,2307,SIDNEY,0,0
16-003648,2016-07,01/23/2016 00:42,Y, , ,1, , 41202,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  2ND DEGREE,5163,CATES AVE,51, , ,5163,CATES,886272,1027784
16-003648,2016-07,01/23/2016 00:42,Y, , ,1, , 41202,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  2ND DEGREE,5163,CATES AVE,51, , ,5163,CATES,886272,1027784
16-003648,2016-07,01/23/2016 00:42,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5163,CATES AVE,51, , ,5163,CATES,886272,1027784
16-003648,2016-07,01/23/2016 00:42,Y, , ,1, , 41202,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  2ND DEGREE,5163,CATES AVE,51, , ,5163,CATES,886272,1027784
16-034475,2016-07,02/01/2016 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5800,THEODORE AVE,72, , ,5800,THEODORE,0,0
16-035663,2016-07,02/01/2016 08:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4856,FARLIN AVE,69, , ,1411,LOCUST,892817.6,1035621
16-036491,2016-07,02/01/2016 12:00,Y, , ,1, , 43024,6,ASSLT-AGGRAV-OTH-WPN-1ST-CHILD-DOMESTIC,8738,ANNETTA ST,74, , ,8738,ANNETTA,895101.1,1049959
16-036491,2016-07,02/01/2016 12:00,Y, , ,1, , 44026,6,ASLT-AGGRV-HND/FST/FT-3RD-CHILD-DOMESTIC,8738,ANNETTA ST,74, , ,8738,ANNETTA,895101.1,1049959
16-035192,2016-07,02/02/2016 18:42,Y, , ,1, ,111200,5,FRAUD-BAD CHECK/NO ACCOUNT,3900,WASHINGTON AVE,38,CENTREX ELECTRICAL SUPPLY CORP, ,3900,WASHINGTON,894769.8,1022840
16-033121,2016-07,02/10/2015 14:44,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,3200,S 2ND ST,20,NGA,NGA,919,JEFFERSON,902570.9,1004595
