Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-027769,2016-06,01/01/2009 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4100,E LEE AVE,68, , ,4100,LEE,0,0
16-027284,2016-06,01/01/2015 00:01,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3400,ITASKA ST,16, , ,3400,ITASKA,0,0
16-031717,2016-06,01/01/2016 12:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,7812,DECATUR DR,4, , ,7812,DECATUR,883315.3,990814.4
16-025992,2016-06,01/05/2016 18:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",3202,BYRON PL,10, , ,3202,BYRON,873597.1,1009972
16-015999,2016-06,01/06/2016 01:30,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,4400,CHOUTEAU AVE,39, , ,4400,CHOUTEAU,0,0
16-001686,2016-06,01/11/2016 13:03,Y, , ,1, ,183250,6,DRUGS-SALE/COCAINE,4440,GREER AVE,56, ,4440 GREER,1915,OLIVE,894244.4,1031574
16-028009,2016-06,01/17/2016 21:43,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
16-002877,2016-06,01/18/2016 12:21,Y, , ,1, ,266400,5,PUBLIC ORDER-ANIMAL VIOLATION,5600,VERNON AVE,48, , ,5600,VERNON,882834.3,1029076
16-028019,2016-06,01/22/2016 10:51,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
16-030413,2016-06,01/26/2016 09:00,Y, , ,1, ,115500,1,FRAUD/STEALING BY DECEIT-O/$150,4650,LANSDOWNE AVE,5,ACCEPTANCE NOW, ,4650,LANSDOWNE,885131.3,1002663
16-029311,2016-06,02/01/2013 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
16-027480,2016-06,02/01/2016 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2719,MERAMEC ST,16, , ,2719,MERAMEC,896970.9,999996.3
16-005126,2016-06,02/01/2016 11:30,Y, , ,1, ,266400,6,PUBLIC ORDER-ANIMAL VIOLATION,6300,SHERRY AVE,76, , ,6300,SHERRY,887959.4,1044893
16-005506,2016-06,02/03/2016 12:15,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",6828,S BROADWAY,1, , ,6828,BROADWAY,891194.1,990090.7
16-030108,2016-06,02/15/2016 13:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,5322,NORTHLAND AVE,50,FIRST CLASS TAX SERVICE,APT. #2W,5322,NORTHLAND,887352.6,1033440
16-029877,2016-06,02/20/2016 00:01,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4048,S SPRING AVE,16, , ,4048,SPRING,891997.2,1001669
16-028023,2016-06,02/23/2016 22:52,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
16-030104,2016-06,03/03/2016 09:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,6306,GARESCHE AVE,76, , ,1915,OLIVE,888349.3,1045700
16-026777,2016-06,03/03/2016 19:07,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6306,GARESCHE AVE,76, , ,6306,GARESCHE,888349.3,1045700
16-010302,2016-06,03/04/2016 22:22,Y, , ,1, ,183130,1,DRUGS-SALE/HEROIN,7907,S BROADWAY,2,J AND C AUTO BODY,BUSINESS,7907,BROADWAY,888608.4,987483.9
16-027324,2016-06,03/05/2016 15:52,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4408,FAIR AVE,68, , ,4408,FAIR,899218.8,1034339
16-010512,2016-06,03/06/2016 03:19, , , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",200,4TH,35,@CROWNE PLAZA HOTEL,ON MEMORIAL DRIVE,200,4TH,0,0
16-010512,2016-06,03/06/2016 03:19, , , ,-1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",200,4TH,35,@CROWNE PLAZA HOTEL,ON MEMORIAL DRIVE,200,4TH,0,0
16-031754,2016-06,03/07/2016 08:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,5300,HALL ST,64, ,SUITE B CONTRACT FREIGHT MGMNT,5300,HALL,905057.5,1037667
16-017263,2016-06,03/10/2016 00:01,Y, , ,1, , 43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,5406,ROBIN AVE,72, , ,4443,WEST PINE,891496.8,1044105
16-011209,2016-06,03/10/2016 11:15,Y, , ,1, ,183400,3,DRUGS-SALE/MARIJUANA,3508,VISTA AVE,31, , ,1915,OLIVE,895681.8,1015098
16-016855,2016-06,03/10/2016 15:37,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5800,SELBER CT,50,SELBER COURT APARTMENTS, ,5800,SELBER,0,0
16-027663,2016-06,03/11/2016 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
16-028005,2016-06,03/13/2016 05:58,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
16-026893,2016-06,03/13/2016 06:17,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5440,DR MARTIN LUTHER KING DR,78,BI-LOW MARKET, ,5440,DR MARTIN LUTHER KING,885312.5,1032118
16-030139,2016-06,03/13/2016 16:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",3550,LINDELL BLVD,37,ST LOUIS UNIVERSITY, ,3550,LINDELL,896823.9,1020802
