Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-010691,2016-03,01/01/2016 10:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5975,LOTUS AVE,50, , ,5975,LOTUS,882172,1035509
16-013301,2016-03,01/01/2016 12:27,Y, , ,1, , 95100,5,"STALKING (HARASSMENT ONLY, NO THREAT)",470,LAKE AVE,38, , ,470,LAKE,885951.1,1025483
16-012269,2016-03,01/01/2016 13:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4551,MCMILLAN AVE,54, , ,4551,MCMILLAN,890906.7,1026777
16-012009,2016-03,01/01/2016 22:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4555,FOREST PARK AVE,38, ,APT 308,4555,FOREST PARK,888291.4,1021668
16-013280,2016-03,01/03/2016 14:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3411,S JEFFERSON AVE,19, , ,3411,JEFFERSON,898532,1004867
16-010729,2016-03,01/05/2016 08:00,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3202,S KINGSHIGHWAY BLVD,15,HOME DEPOT, ,3202,KINGSHIGHWAY,886045.3,1008369
16-013463,2016-03,01/05/2016 14:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2607,GRAVOIS AVE,24, , ,2607,GRAVOIS,899242.4,1009280
16-012443,2016-03,01/05/2016 16:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3640,KOSCIUSKO ST,18, , ,3640,KOSCIUSKO,901146.1,1002759
16-013297,2016-03,01/09/2016 17:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
16-013299,2016-03,01/10/2016 03:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1322,BAYARD AVE,53, , ,1322,BAYARD,889551.4,1029233
16-012444,2016-03,01/10/2016 20:21,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,KOSCIUSKO ST,18, , ,3710,KOSCIUSKO,900691.8,1002387
16-001770,2016-03,01/11/2016 19:00, , , ,-1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL, ,BROADWAY KEOKUK,18, ,:APT D,3912,ILLINOIS,0,0
16-002428,2016-03,01/13/2016 06:00,Y, , ,1, ,151110,1,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4629,MINNESOTA AVE,17, ,2ND FL/APT A,4629,MINNESOTA,894676.9,997279
16-002092,2016-03,01/13/2016 19:15, , , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5645,FOREST PARK,46, , ,5645,FOREST PARK,0,0
16-002092,2016-03,01/13/2016 19:15, , , ,-1, ,141300,5,DESTRUC PROPERTY-TMPRNG/WITH AUTO,5645,FOREST PARK,46, , ,5645,FOREST PARK,0,0
16-013282,2016-03,01/13/2016 20:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3525,OSAGE ST,16, , ,3525,OSAGE,893572.8,1001861
16-012813,2016-03,01/14/2016 20:00,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,5320,BRANNON AVE,7, , ,5320,BRANNON,882700.2,1000642
16-012288,2016-03,01/15/2016 07:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3138,MICHIGAN AVE,25, ,APT 2A,3138,MICHIGAN,896177.6,1007580
16-011367,2016-03,01/15/2016 15:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2225,CHIPPEWA ST,18, , ,2225,CHIPPEWA,898777.3,1002430
16-011813,2016-03,01/15/2016 15:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5411,IDAHO AVE,1, , ,5411,IDAHO,891935.6,995779.7
16-002485,2016-03,01/15/2016 18:45,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4700,LEE AVE,69, , ,4600,LEE,0,0
16-010867,2016-03,01/16/2016 11:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,4104,N 20TH ST,65, , ,4104,20TH,904436.1,1031173
16-010206,2016-03,01/17/2016 17:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3439,OHIO AVE,19, , ,3439,OHIO,897865.3,1004691
16-013296,2016-03,01/18/2016 10:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1408,N KINGSHIGHWAY BLVD,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
16-014722,2016-03,01/19/2015 14:45,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4742,NEWPORT AVE,5, , ,4742,NEWPORT,887947.3,1000018
16-012158,2016-03,01/19/2016 08:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,11,BEVERLY PL,49, , ,11,BEVERLY,883697.9,1027135
16-013300,2016-03,01/19/2016 10:18,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,600,N KINGSHIGHWAY BLVD,38, , ,600,KINGSHIGHWAY,887891.8,1025894
16-011217,2016-03,01/21/2016 22:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,1434,N 16TH ST,61, , ,1434,16TH,906256.9,1022439
16-010698,2016-03,01/22/2016 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,4401,NATURAL BRIDGE AVE,69, ,@COMMERCE BANK - NATURAL BRIDGE,4401,NATURAL BRIDGE,895484.3,1033032
16-010659,2016-03,01/22/2016 12:26,Y, , ,1, ,122000,3,EMBEZZLEMENT-VALUE UNDER $150,3430,S GRAND BLVD,25,SCHNUCKS SUPERMARKET, ,3430,GRAND,893788.8,1005469
16-010886,2016-03,01/22/2016 14:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4617,POPE AVE,69, , ,4617,POPE,897975.3,1036482
16-003610,2016-03,01/22/2016 21:52, , , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET", , ,74, , , , ,0,0
16-003610,2016-03,01/22/2016 21:52, , , ,-1, ,151400,6,WEAPONS-STATE VIOL/DEFACED FIREARM, , ,74, , , , ,0,0
16-003751,2016-03,01/23/2016 19:08,Y, , ,1, , 67501,3,"LARCENY-FROM BUILDING OVER $25,000",711,GEYER AVE,21, , ,711,GEYER,905205.8,1010389
16-003751,2016-03,01/23/2016 19:08, , , ,-1, , 67501,3,"LARCENY-FROM BUILDING OVER $25,000",711,GEYER AVE,21, , ,711,GEYER,905205.8,1010389
16-011852,2016-03,01/24/2016 23:50,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4121,MANCHESTER AVE,39,SIAM RESTAURANT, ,4121,MANCHESTER,891310.8,1017606
16-014866,2016-03,01/25/2016 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,2244,S KINGSHIGHWAY BLVD,13, , ,2244,KINGSHIGHWAY,886930.8,1012659
16-014531,2016-03,01/25/2016 08:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3823,NEBRASKA AVE,16, , ,3823,NEBRASKA,896171.6,1002432
16-004141,2016-03,01/25/2016 21:00, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4061,GRAVOIS,15, , ,4061,GRAVOIS,0,0
16-010111,2016-03,01/26/2016 06:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1004,N JEFFERSON AVE,61, ,@CARR LANE SCHOOL,1004,JEFFERSON,902535.7,1021759
16-004483,2016-03,01/28/2016 11:16, , , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4446,LABADIE,56, ,FRONT,4446,LABADIE,0,0
16-004483,2016-03,01/28/2016 11:16, , , ,-1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4446,LABADIE,56, ,FRONT,4446,LABADIE,0,0
16-011384,2016-03,01/28/2016 12:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,415,BATES ST,1, , ,415,BATES,893024.6,994329.1
16-010412,2016-03,01/30/2016 08:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,609,CLARA AVE,47, , ,609,CLARA,882264.8,1026647
16-009822,2016-03,02/01/2016 17:00,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,5105,COTE BRILLIANTE AVE,52, , ,5105,COTE BRILLIANTE,888153.4,1031709
16-005349,2016-03,02/02/2016 12:30,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1931,PHIPPS ST,61, , ,1931,PHIPPS,904745.6,1022621
16-010037,2016-03,02/03/2016 09:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,8557,ORIOLE ST,74, ,VACANT,8557,ORIOLE,894201.6,1048571
16-005473,2016-03,02/03/2016 12:00,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,2709,DR MARTIN LUTHER KING DR,59,RC MARKET, ,1915,OLIVE,901772.4,1021451
16-005532,2016-03,02/03/2016 15:00,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2709,DR MARTIN LUTHER KING DR,59, , ,2709,DR MARTIN LUTHER KING,901772.4,1021451
16-014468,2016-03,02/03/2016 15:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3854,ST LOUIS AVE,59, , ,3854,ST LOUIS,898371.4,1028432
16-010528,2016-03,02/03/2016 19:28,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5628,ENRIGHT AVE,48,ST LUKES APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5628,ENRIGHT,882347.8,1027408
16-010586,2016-03,02/04/2016 11:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,8626,TRAFFORD LN,73, , ,8626,TRAFFORD,891647.1,1050042
16-010934,2016-03,02/04/2016 20:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
16-010404,2016-03,02/05/2016 12:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4349,WILCOX AVE,5, , ,4349,WILCOX,886122.6,1000654
16-007292,2016-03,02/06/2016 15:30, , , ,-1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,2813,GAMBLE,59, , ,2813,GAMBLE,0,0
16-013332,2016-03,02/06/2016 18:43,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1551,S 7TH ST,21, ,@BAR- SOCIAL HOUSE,1551,7TH,905973.6,1011338
16-013502,2016-03,02/07/2016 04:24,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1401,CHOUTEAU AVE,36, ,@AMOCO - 14TH AND CHOUTEAU,1401,CHOUTEAU,904521.8,1014630
16-006128,2016-03,02/07/2016 07:55, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3131,FRANKE,9, , ,3131,FRANKE,0,0
16-012685,2016-03,02/07/2016 13:15,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,949,CATALPA ST,48, , ,949,CATALPA,879120.6,1029629
16-012445,2016-03,02/08/2016 16:56,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4141,OREGON AVE,16, , ,4141,OREGON,896152.1,1000219
16-015416,2016-03,02/09/2016 06:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
16-013344,2016-03,02/09/2016 12:00,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,3002,S JEFFERSON AVE,22, , ,3002,JEFFERSON,899171.6,1007325
16-015415,2016-03,02/09/2016 13:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,323,DE BALIVIERE AVE,47, , ,323,DE BALIVIERE,881596.2,1025069
