Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-026150,2016-05,01/01/2005 08:00,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4954,CHIPPEWA ST,7, , ,4954,CHIPPEWA,884456.8,1004176
16-023336,2016-05,01/01/2014 12:00,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4100,WALSH ST,5, , ,4100,WALSH,0,0
16-024985,2016-05,01/01/2016 05:57,Y, , ,1, , 95100,4,"STALKING (HARASSMENT ONLY, NO THREAT)",919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,919,JEFFERSON,902219.7,1021301
16-021060,2016-05,01/01/2016 08:48,Y, , ,1, ,179220,6,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,4700,FARLIN AVE,69, , ,4700,FARLIN,0,0
16-024433,2016-05,01/01/2016 12:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4415,N MARKET ST,57, , ,4415,MARKET,893470.3,1029256
16-023521,2016-05,01/01/2016 12:13,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",3157,SUBLETTE AVE,13, ,@SOUTH PATROL DIVISION,3157,SUBLETTE,882564.6,1008801
16-022225,2016-05,01/01/2016 12:39,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4529,HOLLY AVE,68, , ,4529,HOLLY,898556.4,1035992
16-023277,2016-05,01/02/2010 12:00,Y, , ,1, ,101000,6,FORGERY,4516,DRYDEN AVE,69, , ,4516,DRYDEN,896794.9,1036914
16-023603,2016-05,01/05/2010 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3700,NEOSHO ST,29, , ,1500,GRAND,0,0
16-023603,2016-05,01/05/2010 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3700,NEOSHO ST,29, , ,1500,GRAND,0,0
16-024896,2016-05,01/05/2016 09:00,Y, , ,1, ,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,4650,LANSDOWNE AVE,5,ACCEPTANCE NOW, ,4650,LANSDOWNE,885131.3,1002663
16-023546,2016-05,01/15/2012 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4263,E SAN FRANCISCO AVE,68, , ,4263,SAN FRANCISCO,896940.3,1032711
16-020974,2016-05,01/15/2016 12:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,271,POTOMAC ST,19, ,DUPLEX,271,POTOMAC,897865.6,1004557
16-002703,2016-05,01/17/2016 07:23, , , ,1, , 71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,2627,TEXAS,24, , , , ,0,0
16-002703,2016-05,01/17/2016 07:23, , , ,-1, ,265321,3,LEAVING SCENE OF ACCIDENT,2627,TEXAS,24, , , , ,0,0
16-002805,2016-05,01/17/2016 18:06,Y, , ,1, , 36111,2,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,3517,GRAND,15, ,: @KENTUCKY FRIED CHICKEN - S GRAND, , ,0,0
16-002805,2016-05,01/17/2016 18:06, , , ,-1, , 10000,2,HOMICIDE,3517,GRAND,15, ,: @KENTUCKY FRIED CHICKEN - S GRAND, , ,0,0
16-002805,2016-05,01/17/2016 18:06, , , ,1, , 10000,2,HOMICIDE,3517,GRAND,15, ,: @KENTUCKY FRIED CHICKEN - S GRAND, , ,0,0
16-025186,2016-05,01/21/2016 17:40,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
16-024676,2016-05,01/25/2016 09:00,Y, , ,1, ,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,4650,LANSDOWNE AVE,5,HOME DECOR, ,4650,LANSDOWNE,885131.3,1002663
16-020929,2016-05,01/31/2016 23:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1133,WASHINGTON AVE,35, ,THE DOWNTOWNER,1133,WASHINGTON,907003.4,1019090
16-021198,2016-05,02/01/2016 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1100,HADLEY ST,62, , ,1000,WHITTIER,0,0
