Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-060225,2016-11,01/01/2013 09:37,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6111,MICHIGAN AVE,1, , ,6111,MICHIGAN,892049.5,992992.3
16-051975,2016-11,01/01/2015 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4200,COLLEGE AVE,67, , ,4100,GRAND,0,0
16-056849,2016-11,01/30/2016 10:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,HORNSBY AVE / NEWBY ST,74, , ,992,RIVERVIEW,895706,1050752
16-059816,2016-11,02/03/2016 00:01,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,3915,OLIVE ST,38, , ,3915,OLIVE,894624.9,1022655
16-059550,2016-11,02/03/2016 23:30,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,700,SHENANDOAH AVE,36, , ,700,SHENANDOAH,0,0
16-059170,2016-11,02/04/2011 00:01,Y, , ,1, , 43025,1,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,3761,MERAMEC ST,16, , ,3756,MERAMEC,892275.9,1001225
16-056532,2016-11,03/01/2016 20:07,Y, , ,1, ,171300,2,SEX OFFNS-STATUATORY RAPE/SECOND,4200,MCDONALD AVE,15, , ,4200,MCDONALD,0,0
16-057345,2016-11,03/07/2010 00:01,Y, , ,1, , 43026,2,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3927,CHIPPEWA ST,15, , ,3927,CHIPPEWA,890901.7,1003595
16-057345,2016-11,03/07/2010 00:01,Y, , ,1, , 91124,2,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3927,CHIPPEWA ST,15, , ,3927,CHIPPEWA,890901.7,1003595
16-057125,2016-11,03/12/2008 10:54,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1203,S 14TH ST,33, , ,919,JEFFERSON,904476.4,1013699
16-013318,2016-11,03/22/2016 13:30, , , ,1, , 31112,4,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT, , ,59, , , , ,0,0
16-013318,2016-11,03/22/2016 13:30, , , ,-1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE, , ,59, , , , ,0,0
16-059139,2016-11,04/01/2015 12:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5202,THEODOSIA AVE,52, , ,5202,THEODOSIA,887347.4,1031513
