Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-019461,2017-04,01/01/2006 10:10,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4155,CONCORDIA AVE,5, , ,4155,CONCORDIA,886291.2,997978.5
17-018445,2017-04,01/01/2006 14:09,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4615,DELOR ST,5, , ,4615,DELOR,885044.6,1001289
17-014843,2017-04,01/01/2015 22:36,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,6800,BALSON AVE,10, , ,6800,BALSON,0,0
17-019313,2017-04,01/12/2008 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4400,ELLENWOOD AVE,5, ,BASEMENT,4400,ELLENWOOD,0,0
17-019541,2017-04,01/12/2017 12:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,13,COLUMBUS SQUARE DR,62, , ,13,COLUMBUS SQUARE,908189.4,1020715
17-018072,2017-04,01/15/2017 07:00,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5906,ARSENAL ST,13, , ,5906,ARSENAL,880736,1009807
17-017546,2017-04,01/15/2017 17:25,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,828,GUSTAV AVE,74, , ,828,GUSTAV,897352.9,1052551
17-002915,2017-04,01/17/2017 00:01, , , ,1, , 21000,6,RAPE -- FORCIBLE,4500,HARRIS,68, , ,3400,ABNER,0,0
17-017058,2017-04,01/19/2017 17:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,35,S GRAND BLVD,37, , ,35,GRAND,896073.6,1019677
17-018971,2017-04,01/22/2017 01:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5884,KENNERLY AVE,50, , ,5884,KENNERLY,883282.1,1035691
17-020525,2017-04,01/24/2017 16:19,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
17-020524,2017-04,01/25/2017 19:05,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
17-020523,2017-04,01/28/2017 08:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,787,N EUCLID AVE,53, , ,787,EUCLID,888592.4,1027078
17-020522,2017-04,01/29/2017 11:58,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4228,PAGE BLVD,58, , ,4228,PAGE,894028.6,1026244
17-004854,2017-04,01/29/2017 12:01,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1734,PRESERVATION PL,62, ,RESIDENCE,1734,PRESERVATION,906189.8,1022184
17-018542,2017-04,01/31/2016 22:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5965,WELLS AVE,78, , ,5965,WELLS,881594.3,1034245
17-016010,2017-04,02/01/2013 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5018,DURANT AVE,71, , ,5018,DURANT,892934.3,1039542
17-019585,2017-04,02/01/2017 12:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4009,ST FERDINAND AVE,56, , ,4009,ST FERDINAND,896787.7,1027760
17-016218,2017-04,02/02/2017 14:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4826,GOETHE AVE,6, , ,4826,GOETHE,882980.8,999136.3
17-016895,2017-04,02/03/2017 02:45,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1128,WASHINGTON AVE,35, , ,1128,WASHINGTON,907005.8,1018860
17-020521,2017-04,02/04/2017 15:49,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,309,DEBALIVIERE AVE,46, , ,309,DEBALIVIERE,881463.4,1025335
17-016057,2017-04,02/05/2017 15:18,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1214,N 16TH ST,61,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1710,PRESERVATION,905999.1,1021531
17-016870,2017-04,02/06/2017 21:37,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-018218,2017-04,02/07/2017 07:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,2018,MALLINCKRODT ST,65, , ,2018,MALLINCKRODT,905042.1,1028872
17-016884,2017-04,02/07/2017 12:29,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND BLVD,59, , ,1400,GRAND,898337.4,1024456
17-016875,2017-04,02/07/2017 20:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1440,N 10TH ST,62, , ,1440,10TH,908507,1021936
17-017183,2017-04,02/07/2017 22:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6715,CLAYTON AVE,44, , ,6715,CLAYTON,876815.3,1018844
17-006396,2017-04,02/09/2017 10:00,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,4828,N BROADWAY,64,WESTERN INN MOTEL, ,4828,BROADWAY,904588.8,1034757
17-018421,2017-04,02/09/2017 12:05,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1448,LASALLE LN,33, , ,1448,LASALLE,904320.1,1014165
17-006450,2017-04,02/09/2017 15:05,Y, , ,1, ,183260,1,DRUGS-SALE/METHAMPHETAMINE,6200,PENNSYLVANIA AVE,1, , ,6200,PENNSYLVANIA,892518.4,992225.7
17-020857,2017-04,02/10/2017 14:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,5983,DRURY LN,73, , ,5983,DRURY,892517.3,1048359
17-006613,2017-04,02/10/2017 16:00,Y, , ,1, ,151110,3,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2100,WYOMING ST,22, ,ON STREET,2100,WYOMING,899798.4,1006044
17-019283,2017-04,02/10/2017 16:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,HICKORY LN,33, , ,1400,HICKORY,904505.7,1013819
17-017077,2017-04,02/10/2017 22:21,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1015,S BROADWAY,34, ,@RALLYS- BROADWAY,1015,BROADWAY,907601.5,1013586
17-016877,2017-04,02/11/2017 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,1031,WALSH ST,1, , ,1031,WALSH,891834.1,996692.9
17-017912,2017-04,02/11/2017 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4708,S COMPTON AVE,17, , ,4708,COMPTON,894129.6,996881.6
17-016872,2017-04,02/12/2017 08:33,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-017307,2017-04,02/12/2017 13:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4033,OLIVE ST,38, , ,4033,OLIVE,893656.1,1023136
17-016879,2017-04,02/14/2017 09:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1203,N 7TH ST,62, , ,1203,7TH,909174.2,1020603
17-016893,2017-04,02/14/2017 11:00,Y, , ,1, , 69703,4,LARCENY-ALL OTH/FRM PRSN/UNDER $500,2534,N GRAND BLVD,59, ,@HOTEL- GRAND MOTEL,919,JEFFERSON,899572.2,1026783
17-019303,2017-04,02/14/2017 13:39,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1318,TEMPLE PL,78, ,NUISANCE ABATEMENT PROPERTY,1318,TEMPLE,883044.3,1031374
17-016851,2017-04,02/14/2017 21:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-019839,2017-04,02/15/2017 15:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,2124,MARCONI AVE,12, ,APT A,2124,MARCONI,885139.4,1012998
17-007446,2017-04,02/15/2017 17:30,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,4923,FOUNTAIN AVE,53, , ,4923,FOUNTAIN,888555.9,1027839
17-017306,2017-04,02/16/2017 01:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
17-017450,2017-04,02/16/2017 19:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4122,FINNEY AVE,58, , ,4122,FINNEY,894202.1,1025279
17-016845,2017-04,02/16/2017 20:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-017053,2017-04,02/16/2017 21:36,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3925,GREER AVE,56, , ,3925,GREER,898412.7,1029498
17-017308,2017-04,02/17/2017 09:49,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51, ,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
17-016911,2017-04,02/17/2017 13:05,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,35,S GRAND BLVD,37, , ,35,GRAND,896073.6,1019677
17-015646,2017-04,02/18/2017 23:48,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",705,OLIVE ST,35, , ,705,OLIVE,908328.4,1017870
17-018660,2017-04,02/19/2017 15:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,GOODFELLOW BLVD / I 70 EASTBOU,70, , , , ,887564.6,1043980
17-017443,2017-04,02/20/2017 06:41,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51, ,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
17-016905,2017-04,02/20/2017 18:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1727,LOCUST ST,36, , ,1727,LOCUST,904546.6,1019310
17-016864,2017-04,02/20/2017 22:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-017085,2017-04,02/21/2017 10:11,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1549,S JEFFERSON AVE,31, , ,1549,JEFFERSON,899869,1013585
17-017072,2017-04,02/21/2017 13:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1220,S 11TH ST,34, , ,1220,11TH,905424,1013560
17-017082,2017-04,02/21/2017 14:59,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1549,S JEFFERSON AVE,31, , ,1549,JEFFERSON,899869,1013585
17-016876,2017-04,02/22/2017 22:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,835,CARR ST,62, , ,835,CARR,908640.5,1020327
17-018505,2017-04,02/23/2017 15:00,Y, , ,1, ,242000,2,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,2215,KLEMM ST,27, , ,2215,KLEMM,890377.3,1011820
17-018771,2017-04,02/24/2017 11:14,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,107,BELLERIVE BLVD,1, , ,107,BELLERIVE,893874.1,993312.6
17-019871,2017-04,02/24/2017 14:40,Y, , ,1, , 44012,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",6901,HAMPTON AVE,8, , ,6901,HAMPTON,878769.2,997854.5
17-019277,2017-04,02/24/2017 18:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1411,N 8TH ST,62, , ,1411,8TH,909212.8,1022017
17-009066,2017-04,02/24/2017 18:00,Y, , ,1, , 44016,4,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,1411,N 8TH ST,62, , ,1411,8TH,909212.8,1022017
17-017065,2017-04,02/26/2017 18:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1412,MORRISON LN,33, , ,1412,MORRISON,904428.1,1013525
17-017070,2017-04,02/27/2017 00:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1412,LASALLE ST,33, , ,1412,LASALLE,904394.9,1014251
17-016843,2017-04,02/28/2017 20:22,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1120,N LEONARD AVE,77, , ,1120,LEONARD,898776.4,1023568
17-015838,2017-04,03/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4138,W KOSSUTH AVE,68, , ,4138,KOSSUTH,897942.2,1033075
17-018786,2017-04,03/01/2017 00:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,2611,N SARAH ST,57, , ,2611,SARAH,896310.9,1028452
17-009790,2017-04,03/01/2017 00:47, , , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5339,ARSENAL,13, , , , ,0,0
17-009790,2017-04,03/01/2017 00:47, , , ,-1, , 41013,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5339,ARSENAL,13, , , , ,0,0
17-018183,2017-04,03/01/2017 06:43,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",801,N 11TH ST,35,ST LOUIS PUBLIC SCHOOLS, ,801,11TH,907512.3,1019461
17-009878,2017-04,03/01/2017 09:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,PLYMOUTH AVE,48, , ,5900,PLYMOUTH,0,0
17-016327,2017-04,03/01/2017 10:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5616,ENRIGHT AVE,48, , ,4055,LACLEDE,882262.8,1027291
17-009870,2017-04,03/01/2017 13:45,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",6109,PAGE BLVD,78, , ,6109,PAGE,880442.4,1033027
17-018404,2017-04,03/01/2017 16:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3701,LINDELL BLVD,77, , ,3701,LINDELL,895417.8,1021428
17-016962,2017-04,03/01/2017 17:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5014,PERNOD AVE,14, , ,5014,PERNOD,884054.1,1005481
17-019504,2017-04,03/01/2017 18:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,300,S GRAND BLVD,37, , ,300,GRAND,896423.8,1019015
17-019321,2017-04,03/01/2017 18:08,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3206,BELL AVE,77, , ,3206,BELL,899016,1022433
17-015375,2017-04,03/03/2017 01:24,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2837,MERAMEC ST,16, , ,2837,MERAMEC,896126.7,1000130
17-015811,2017-04,03/03/2017 17:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1401,LASALLE LN,33, , ,1401,LASALLE,904320.1,1014165
17-019289,2017-04,03/03/2017 21:18,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
17-010221,2017-04,03/04/2017 02:00, , , ,-1, , 51222,3,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,3522, ,19, , ,3522,MINNESOTA,0,0
17-018813,2017-04,03/04/2017 08:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6411,CHIPPEWA ST,9, , ,6411,CHIPPEWA,877679.6,1005225
17-020011,2017-04,03/04/2017 10:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1419,PEABODY CT,33, , ,1419,PEABODY,904206.2,1013767
17-016042,2017-04,03/04/2017 16:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1510,OFALLON ST,61,PRESERVATION PLACE APARTMENTS,NUISANCE ABATEMENT PROPERTY,1510,OFALLON,906412.4,1021783
17-019968,2017-04,03/04/2017 20:45,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3853,LINDELL BLVD,77, , ,3853,LINDELL,894474.4,1021821
17-015813,2017-04,03/05/2017 08:58,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4433,NORFOLK AVE,39, , ,4433,NORFOLK,888631.8,1016495
17-017298,2017-04,03/06/2017 21:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,BIRCHER BLVD / RIVERVIEW BLVD,70, , , , ,888467.3,1043114
17-016626,2017-04,03/07/2017 15:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4938,THEKLA AVE,71, ,NUISANCE ABATEMENT PROPERTY,4938,THEKLA,894241,1039213
17-020497,2017-04,03/08/2017 08:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1500,LAFAYETTE AVE,33, , ,1500,LAFAYETTE,903565.4,1012169
17-010890,2017-04,03/08/2017 08:30,Y, , ,1, ,151110,0,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1008,ADDISON DR,0, , ,1008,ADDISON,897047.3,1064686
