Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-031380,2017-08,01/01/2009 00:01,Y, , ,1, , 23000,5,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4900,TERRY AVE,55, , ,4900,TERRY,0,0
17-042040,2017-08,01/01/2014 09:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2228,SULLIVAN AVE,60, , ,2228,SULLIVAN,904291.2,1027224
17-037243,2017-08,01/01/2016 00:01,Y, , ,1, ,179200,5,SEX OFFNS-CHILD MOLESTATION,5800,SELBER CT,50,HILLVALE APARTMENTS, ,5800,SELBER,0,0
17-027802,2017-08,01/01/2016 05:57,Y, , ,1, , 95100,4,"STALKING (HARASSMENT ONLY, NO THREAT)",1915,OLIVE ST,36, ,@HQ,1915,OLIVE,903703.7,1019090
17-036999,2017-08,01/01/2017 00:01,Y, , ,1, ,171300,5,SEX OFFNS-STATUATORY RAPE/SECOND,5100,CABANNE AVE,51, ,RESIDENCE,5100,CABANNE,0,0
17-000146,2017-08,01/01/2017 19:45,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3800,TEXAS AVE,16, , ,3900,BROADWAY,0,0
17-043830,2017-08,01/03/2017 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4864,PENROSE ST,69, , ,4864,PENROSE,893260.8,1036480
17-042891,2017-08,01/04/2013 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4619,KORTE AVE,69, , ,4619,KORTE,896076.3,1036689
17-039404,2017-08,02/10/2017 13:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4207,BEETHOVEN AVE,5, , ,4207,BEETHOVEN,887922.8,1002659
17-012279,2017-08,02/14/2017 22:30,Y, , ,1, , 95100,5,"STALKING (HARASSMENT ONLY, NO THREAT)",4364,LINDELL BLVD,38, , ,4364,LINDELL,890740.9,1022343
17-040862,2017-08,02/15/2017 09:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,815,OLIVE ST,35, , ,919,JEFFERSON,907968.3,1018058
17-040862,2017-08,02/15/2017 09:00, , , ,-1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,815,OLIVE ST,35, , ,919,JEFFERSON,907968.3,1018058
17-041667,2017-08,02/21/2017 12:00,Y, , ,1, ,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4237,W SAN FRANCISCO AVE,68, , ,4237,SAN FRANCISCO,896328.9,1033153
17-008547,2017-08,02/21/2017 20:00,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,4023,CALIFORNIA AVE,16, , ,4029,CALIFORNIA,896617.6,1001031
17-038102,2017-08,03/01/2017 08:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4333,GOODFELLOW BLVD,70, , ,4333,GOODFELLOW,886191.1,1040939
17-043837,2017-08,03/15/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4673,KOSSUTH AVE,69, , ,4673,KOSSUTH,894225.9,1035412
17-014252,2017-08,03/27/2017 10:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1453,HICKORY,33, , ,1120,LONG,0,0
17-039249,2017-08,03/31/2017 09:43,Y, , ,1, ,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,6830,S BROADWAY,1,NATIONAL FIXTURE INC.,NATIONAL FIXTURE INC.,6830,BROADWAY,891194.1,990090.7
17-041006,2017-08,04/02/2014 00:01,Y, , ,1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2600,NEBRASKA AVE,24, , ,2600,NEBRASKA,0,0
17-041873,2017-08,04/12/2016 10:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4779,S SPRING AVE,16, , , , ,890196.1,998592.6
17-038779,2017-08,04/15/2017 18:37,Y, , ,1, ,242000,1,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4232,LAWN AVE,7, , ,4232,LAWN,884568.3,1004040
17-038974,2017-08,04/16/2017 12:00,Y, , ,1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,200,UNION BLVD,38, ,UNKNOWN ADDRESS ON UNION BLVD WITHIN,200,UNION,884574.5,1023837
17-017933,2017-08,04/16/2017 20:13,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,S BROADWAY / I 64 WESTBOUND,35, , , , ,908310.1,1015095
17-038638,2017-08,04/18/2017 08:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5616,ENRIGHT AVE,48,ST LUKES  APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5616,ENRIGHT,882262.8,1027291
17-040069,2017-08,04/20/2017 15:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2201,ALBERTA ST,18, , ,2201,ALBERTA,898720.3,1001389
17-019656,2017-08,04/26/2017 08:36, , , ,1, , 81000,6,ARSON-1ST DEGREE/SUCCESS,8674,ORIOLE,74, , ,8674,ORIOLE,0,0
17-019656,2017-08,04/26/2017 08:36, , , ,-1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,8674,ORIOLE,74, , ,8674,ORIOLE,0,0
17-020010,2017-08,04/28/2017 00:01,Y, , ,1, , 42014,3,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,3648,KOSCIUSKO ST,18, , ,3648,KOSCIUSKO,901094.2,1002717
17-037990,2017-08,05/01/2017 00:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3807,FOLSOM AVE,29, , ,3807,FOLSOM,893866.7,1014864
17-040847,2017-08,05/01/2017 07:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8442,N BROADWAY,74, , ,1915,OLIVE,897472.3,1049862
17-038891,2017-08,05/03/2017 19:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,KEOKUK ST / OHIO AVE,16, , , , ,897615.1,1001913
17-021283,2017-08,05/05/2017 10:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3200,N DAKOTA ST,16, ,@CARDINAL GLENNON HOSPITAL,1500,GRAND,0,0
17-040958,2017-08,05/06/2017 09:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1933,ARSENAL ST,22, , ,1933,ARSENAL,900622.1,1006551
17-040047,2017-08,05/08/2017 15:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,4257,MERAMEC ST,15, , ,4257,MERAMEC,888081.9,1004255
17-022116,2017-08,05/09/2017 21:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1108,HADLEY,62, , ,1108,HADLEY,0,0
17-040328,2017-08,05/12/2016 09:06,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3808,W PRIMM ST,4, , ,3808,PRIMM,884397.9,990611.9
17-041665,2017-08,05/12/2017 16:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",1,S COMPTON AVE,37,CHAIFETZ ARENA, ,1,COMPTON,898311.3,1019441
17-039339,2017-08,05/13/2017 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1911,LOCUST ST,36, ,@ MARQUEE RESTAURANT, , ,903753.8,1019516
17-040811,2017-08,05/15/2005 23:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2500,CALIFORNIA AVE,24, , ,2500,CALIFORNIA,0,0
17-039009,2017-08,05/15/2017 07:00,Y, , ,1, , 73413,1,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,4210,SCHILLER PL,5, , ,4202,SCHILLER,886818.4,999108.6
17-038734,2017-08,05/16/2017 11:00,Y, , ,1, ,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,1335,CONVENTION PZ,36, ,STORAGE FACILITY,1335,CONVENTION,906642.1,1019670
17-042430,2017-08,05/19/2017 09:00,Y, , ,1, , 52322,5,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,6188,MCPHERSON AVE,46, ,STORAGE LOCKER,6188,MCPHERSON,877325.8,1026148
17-023929,2017-08,05/19/2017 10:25, , , ,-1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",1200,PINE,36, , ,1200,PINE,0,0
17-039302,2017-08,05/22/2017 02:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",430,S 15TH ST,36,GREYHOUND BUS STATION, ,1915,OLIVE,904845.8,1016613
17-042085,2017-08,05/22/2017 08:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3303,HUMPHREY ST,25, , ,3308,HUMPHREY,895228.9,1006556
17-024989,2017-08,05/24/2017 13:30,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,8200,N BROADWAY,74, , ,8200,BROADWAY,897219.3,1048032
17-025412,2017-08,05/26/2017 16:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1500,OFALLON ST,62, , ,1500,OFALLON,0,0
17-042834,2017-08,05/27/2017 23:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3737,GARFIELD AVE,59, , ,3737,GARFIELD,898399.6,1026098
17-042834,2017-08,05/27/2017 23:00, , , ,-1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3737,GARFIELD AVE,59, , ,3737,GARFIELD,898399.6,1026098
17-043850,2017-08,05/29/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5052,PLOVER AVE,72, , ,5052,PLOVER,890976.9,1042886
17-036444,2017-08,05/30/2017 12:00,Y, , ,1, ,171300,5,SEX OFFNS-STATUATORY RAPE/SECOND,5100,KENSINGTON AVE,51, , ,5100,KENSINGTON,0,0
17-041830,2017-08,06/01/2017 00:01,Y, , ,1, , 66601,2,"LARCENY-BICYCLES $500 - $24,999",5800,HIGHLANDS PLAZA DR W,41, , , , ,882403.6,1017876
17-042518,2017-08,06/01/2017 09:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,8504,PARK LN,73, , ,8504,PARK,892117.1,1048887
17-039190,2017-08,06/01/2017 12:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5300,VON PHUL ST,66, , ,5400,CLAXTON,0,0
17-037585,2017-08,06/01/2017 15:00,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5091,WELLS AVE,51, ,VACANT RESIDENCE,5091,WELLS,887401.9,1030522
17-042177,2017-08,06/01/2017 16:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6540,SCANLAN AVE,9, , ,6540,SCANLAN,876872.7,1009283
17-026583,2017-08,06/01/2017 23:12,Y, , ,1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4237,GIBSON AVE,39, , , , ,890550.9,1017716
17-039138,2017-08,06/04/2017 10:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,0,ASHLAND AVE / SHREVE AVE,55,HANDY PARK, , , ,0,0
17-041676,2017-08,06/06/2017 08:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,2233,WASHINGTON AVE,36, , ,2233,WASHINGTON,902599.4,1020249
17-040590,2017-08,06/07/2017 23:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,5000,37TH ST,16, , ,5000,37TH,0,0
17-039969,2017-08,06/08/2017 10:38,Y, , ,1, ,112010,1,FRAUD-CREDIT DEVICE/OVER $150,1020,LOUGHBOROUGH AVE,1,US BANK,@SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,888369.9,991903
17-027867,2017-08,06/08/2017 16:56,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,4167,SCHILLER PL,5, , ,4167,SCHILLER,887002.8,999169.2
17-028092,2017-08,06/09/2017 22:00,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,FAIR AVE / E PENROSE ST,68, , , , ,898724.9,1033626
17-039285,2017-08,06/10/2017 10:05,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
17-028242,2017-08,06/10/2017 17:22, , , ,1, , 44013,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",1208,TAMM,42, ,SEAMUS MCDANIELS, , ,0,0
17-028242,2017-08,06/10/2017 17:22, , , ,-1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,1208,TAMM,42, ,SEAMUS MCDANIELS, , ,0,0
17-038199,2017-08,06/11/2017 08:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,4934,MAGNOLIA AVE,13, , ,4934,MAGNOLIA,885991,1010549
17-041323,2017-08,06/12/2017 14:09,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,6640,GARNER AVE,43, , ,6640,GARNER,876929.3,1014486
17-040584,2017-08,06/13/2017 09:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,6188,MCPHERSON AVE,46, , ,6188,MCPHERSON,877325.8,1026148
17-039288,2017-08,06/13/2017 10:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
17-043509,2017-08,06/13/2017 17:04,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,6409,SUTHERLAND AVE,8, , ,6409,SUTHERLAND,877240.4,1004301
17-039093,2017-08,06/13/2017 20:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
17-028946,2017-08,06/14/2017 12:25,Y, , ,1, ,183250,5,DRUGS-SALE/COCAINE,738,N EUCLID AVE,53, ,SUSPECT HOME,738,EUCLID,888774.8,1026523
17-039265,2017-08,06/14/2017 14:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6340,BANCROFT AVE,8, , ,6340,BANCROFT,877787.9,1004372
17-041142,2017-08,06/15/2017 08:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",5330,N KINGSHIGHWAY BLVD,71, , ,5330,KINGSHIGHWAY,894343,1039779
17-029075,2017-08,06/15/2017 13:01,Y, , ,1, , 43015,3,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,1110,DILLON DR,33, , ,1110,DILLON,903976.8,1014127
17-038887,2017-08,06/15/2017 16:00,Y, , ,1, , 73413,1,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,4201,BEETHOVEN AVE,5, , ,4201,BEETHOVEN,887948.4,1002640
17-042469,2017-08,06/16/2017 20:09,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,4441,NEBRASKA AVE,17, , ,4441,NEBRASKA,895518.3,998351.3
17-029498,2017-08,06/17/2017 18:50, , , ,-1, , 31211,4,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,3560,SCOTT,37,GRAND METROLINK ELEVATOR, ,3560,SCOTT,0,0
