Complaint,Coded Month,Date Occur,Flag-Crime,Flag-Unfounded,Flag-Administrative,Count,Flag Cleanup,Crime,ILeads Add,ILeads Approve,District,Beat,Description,ILEADS-Address,ILEADS-Street,Neighborhood,ILeads Asg,ILeads Type,Location Name,Location Comment,CAD-Address,CAD-Street,X-Coord,Y-Coord,Date Crime Coded
17-022207,2017-05,5/10/2017 13:30,Y, , ,1, ,265321,5/14/2017 16:16,5/14/2017,5,529,LEAVING SCENE OF ACCIDENT                         ,1700,HAMILTON AVE        ,50,305,, , ,,,882454.8,1034517,5/15/2017
17-021969,2017-05,5/9/2017 11:21,Y, , ,1, ,69702,5/9/2017 12:37,5/13/2017,4,424,LARCENY-ALL OTHER UNDER $500                      ,721,N 2ND ST            ,35,304,, ,@MORGAN STREET BREWERY,721,2ND,910261.4,1018660,5/15/2017
17-022476,2017-05,5/12/2017 0:05,Y, , ,1, ,64601,5/12/2017 0:41,5/14/2017,2,224,"LARCENY-FROM MTR VEH $500 - $24,999               ",3951,GRAVOIS AVE         ,15,302,, , ,,,890816.3,1004148,5/15/2017
17-022597,2017-05,5/12/2017 13:30,Y, , ,1, ,63701,5/12/2017 16:42,5/14/2017,6,622,LARCENY-SHOPLIFT UNDER $500                       ,4107,N GRAND BLVD        ,67,306,, ,@ NU FASHION BEAUTY,4107,GRAND,901776.6,1031336,5/15/2017
17-022571,2017-05,5/12/2017 13:15,Y, , ,1, ,41013,5/12/2017 14:13,5/14/2017,6,627,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,5326,CONDE ST            ,66,306,, , ,5326,CONDE,902055.6,1035581,5/15/2017
17-022648,2017-05,5/12/2017 21:10,Y, , ,1, ,91114,5/12/2017 21:57,5/14/2017,2,222,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3262,WATSON RD           ,9,302,, , ,3262,WATSON,878036.9,1008778,5/15/2017
17-022455,2017-05,5/11/2017 20:00,Y, , ,1, ,265321,5/14/2017 15:58,5/14/2017,5,527,LEAVING SCENE OF ACCIDENT                         ,0,N KINGSHIGHWAY BLVD / SAINT LO,55,306,, , ,,,890079.4,1033431,5/15/2017
17-022598,2017-05,5/12/2017 16:20,Y, , ,1, ,265321,5/14/2017 16:11,5/14/2017,5,522,LEAVING SCENE OF ACCIDENT                         ,0,DELMAR BLVD / WALTON AVE,38,305,, , ,,,889445,1026076,5/15/2017
17-022695,2017-05,5/13/2017 4:09,Y, , ,1, ,41011,5/13/2017 5:50,5/14/2017,5,526,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5864,PLYMOUTH AVE        ,48,305,, , ,5864,PLYMOUTH,880771.9,1031257,5/15/2017
17-021904,2017-05,5/8/2017 17:00,Y, , ,1, ,266510,5/9/2017 6:00,5/15/2017,5,526,PUBLIC ORDER-TRESPASSING                          ,1353,SHAWMUT PL          ,78,399,, , ,1353,SHAWMUT,882598.4,1032135,5/15/2017
17-022783,2017-05,5/13/2017 15:30,Y, , ,1, ,91114,5/13/2017 16:50,5/14/2017,5,523,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4102,MAFFITT AVE         ,57,305,,@VICTIMS RESIDENCE, ,4201,MAFFITT,896585.6,1028993,5/15/2017
17-022330,2017-05,4/25/2017 0:30,Y, , ,1, ,266999,5/11/2017 8:50,5/15/2017,4,426,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,3916,N FLORISSANT AVE    ,65,399,, , ,3916,FLORISSANT,904129.4,1030129,5/15/2017
