Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-049033,2017-10,01/01/2006 00:01,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4720,S BROADWAY,17, , ,4720,BROADWAY,895912.1,996407
17-050757,2017-10,01/01/2015 09:40,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3558,BAMBERGER AVE,15, , ,3558,BAMBERGER,892036.8,1004714
17-052030,2017-10,01/01/2017 00:23,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3700,MORGANFORD RD,15, ,@SCHOOL - EAGLE COLLEGE PRE SCHOOL,1500,GRAND,0,0
17-052030,2017-10,01/01/2017 00:23,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3700,MORGANFORD RD,15, ,@SCHOOL - EAGLE COLLEGE PRE SCHOOL,1500,GRAND,0,0
17-049705,2017-10,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5811,SALOMA AVE,72, , ,5811,SALOMA,889314.6,1043201
17-001344,2017-10,01/09/2017 12:28,Y, , ,1, , 41203,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4524,PAGE,54, , , , ,0,0
17-001344,2017-10,01/09/2017 12:28, , , ,-1, , 10000,5,HOMICIDE,4524,PAGE,54, , , , ,0,0
17-001344,2017-10,01/09/2017 12:28, , , ,1, , 10000,5,HOMICIDE,4524,PAGE,54, , , , ,0,0
17-051540,2017-10,01/15/2017 10:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,MCLARAN AVE / RIVERVIEW BLVD,74, , ,5096,MINERVA,894000,1049676
17-049595,2017-10,02/03/2017 16:37,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5111,RAYMOND AVE,51, , ,5111,RAYMOND,886874.6,1028410
17-006678,2017-10,02/10/2017 21:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1015,WASHINGTON,35, , , , ,0,0
17-048535,2017-10,04/04/2017 00:01,Y, , ,1, , 43025,5,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,3121,UNION BLVD,50, , ,3121,UNION,888586.6,1035285
17-048535,2017-10,04/04/2017 00:01,Y, , ,1, , 43025,5,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,3121,UNION BLVD,50, , ,3121,UNION,888586.6,1035285
17-017618,2017-10,04/14/2017 23:57,Y, , ,1, , 43203,6,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE,5973,GOODFELLOW BLVD,73, , , , ,890494.4,1049361
17-017618,2017-10,04/14/2017 23:57,Y, , ,1, , 41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,5973,GOODFELLOW BLVD,73, , , , ,890494.4,1049361
17-017618,2017-10,04/14/2017 23:57,Y, , ,1, , 43203,6,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE,5973,GOODFELLOW BLVD,73, , , , ,890494.4,1049361
17-051182,2017-10,04/19/2017 08:00,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,300,N 4TH ST,35,MANSION HOUSE APARTMENTS,@MANSION HOUSE,300,4TH,909633.8,1017651
17-049901,2017-10,05/02/2017 13:47,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4050,DELMAR BLVD,38, , ,4050,DELMAR,893884.4,1023760
17-049903,2017-10,05/03/2017 16:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
17-052814,2017-10,05/04/2017 00:01,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1,S MEMORIAL DR,35,KMOV, ,1,MEMORIAL,909287.8,1016389
17-049902,2017-10,05/08/2017 17:36,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5010,N KINGSHIGHWAY BLVD,71, , ,5010,KINGSHIGHWAY,893261.1,1039013
17-049904,2017-10,05/08/2017 19:25,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
17-050107,2017-10,05/10/2017 18:00,Y, , ,1, , 52312,1,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,3900,MERAMEC ST,16,RESURRECTION OF OUR LORD CHURCH, ,3900,MERAMEC,891177.5,1001681
17-049900,2017-10,05/10/2017 18:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,600,N KINGSHIGHWAY BLVD,38, , ,600,KINGSHIGHWAY,887891.8,1025894
