Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-044036,2017-09,01/01/2007 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8919,NEWBY ST,74, , ,8919,NEWBY,895652.4,1051003
17-044253,2017-09,01/01/2017 19:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,10787,RIVERVIEW DR,75, , ,10787,RIVERVIEW,910288.1,1067018
17-043951,2017-09,01/10/2017 21:09,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",3501,GRACE AVE,15, , ,3501,GRACE,893002.8,1005168
17-048470,2017-09,01/17/2017 09:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,155,HUMBOLDT AVE,79, , ,155,HUMBOLDT,901544.5,1045034
17-043154,2017-09,02/18/2008 12:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4100,W CARTER AVE,68, , ,1900,OLIVE,0,0
17-040776,2017-09,03/01/2017 12:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",4934,THOLOZAN AVE,14, , ,4934,THOLOZAN,884966.4,1004951
17-046259,2017-09,03/18/2016 00:01,Y, , ,1, , 23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2900,JAMES COOL PAPA BELL AVE,59, , ,2900,JAMES COOL PAPA BELL,0,0
17-046261,2017-09,03/19/2017 23:30,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,0,GERMANIA ST / MORGANFORD RD,4, , ,3445,OHIO,882336.6,992770.3
17-045409,2017-09,03/20/2017 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,6154,LAURA AVE,76, , ,6154,LAURA,888114.7,1044399
17-015017,2017-09,03/31/2017 18:06,Y, , ,1, , 41203,3,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE, , ,21, , , , ,0,0
17-015017,2017-09,03/31/2017 18:06,Y, , ,1, , 41203,3,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE, , ,21, , , , ,0,0
17-015017,2017-09,03/31/2017 18:06,Y, , ,1, , 41203,3,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE, , ,21, , , , ,0,0
17-015017,2017-09,03/31/2017 18:06,Y, , ,1, , 43203,3,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE, , ,21, , , , ,0,0
17-015017,2017-09,03/31/2017 18:06, , , ,1, , 41203,3,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE, , ,21, , , , ,0,0
17-044925,2017-09,04/01/2017 13:47,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4003,SHREVE AVE,69, , ,4003,SHREVE,893222.4,1035225
17-045308,2017-09,04/05/2017 07:00,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,721,LOCUST ST,35, , ,721,LOCUST,908357.9,1018280
17-047579,2017-09,04/14/2017 09:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4234,BECK AVE,15, , ,4234,BECK,888273.8,1004243
14-015756,2017-09,04/15/2014 17:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3515,11TH,65, , ,3515,11TH,0,0
17-045407,2017-09,04/15/2017 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5453,SHREVE AVE,71, , ,5453,SHREVE,896094.6,1038860
17-017939,2017-09,04/16/2017 21:16,Y, , ,1, ,151130,5,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,W BELLE PL / N TAYLOR AVE,54, , , , ,891036.9,1026465
17-018324,2017-09,04/18/2017 20:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,508,N EUCLID AVE,38, ,CITY STREET,508,EUCLID,888551.8,1025485
17-047571,2017-09,04/24/2017 15:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4490,WEST PINE BLVD,38, ,@WEST PINE APTS,4490,WEST PINE,889270.1,1022184
17-047570,2017-09,04/25/2017 16:40,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1315,N KINGSHIGHWAY BLVD,51, , ,1315,KINGSHIGHWAY,888174.5,1029422
17-044200,2017-09,04/30/2017 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,11005,RIVERVIEW DR,75, , ,11005,RIVERVIEW,910791.1,1068274
17-048235,2017-09,05/01/2017 08:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5801,WILSON AVE,12,PUBLIC STORAGE, ,5801,WILSON,881898.8,1013889
17-047369,2017-09,05/01/2017 09:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5708,KINGSBURY PL,46,WINTER GARDEN APTS,WINTER GARDEN APTS,5708,KINGSBURY,881536.7,1026065
